Reg. No.,Lab00,Lab01,Lab02,Lab03,Read01,Read02,Read03,Read04,Read05,Read06,Read07,Read08,Read09,Read10,Lab04,Lab05,Lab06,Lab07,Lab08,Lab09,Lab10,Lab11,Lab12,Qt,Proj1,Proj2,Mid
E/13/107,0.95,1.00,1.00,1.00,0.67,0.67,0.00,0.67,0.67,0.67,0.67,0.67,1.00,1.00,0.66,0.79,1.00,0.50,0.68,1.00,0.90,0.98,0.81,0.60,7.91,8.50,15.00
E/13/110,0.94,1.00,1.00,1.00,1.00,1.00,0.67,0.67,0.67,0.67,1.00,0.67,1.00,1.00,0.00,0.92,1.00,0.80,1.00,1.00,0.80,0.70,1.00,0.90,9.83,10.00,19.00
E/13/119,0.90,0.71,0.83,1.00,0.33,0.33,0.67,0.67,0.67,0.67,0.33,0.67,0.67,1.00,0.82,0.59,0.00,0.10,0.00,1.00,0.72,0.25,1.00,0.70,0.11,9.20,4.00
E/13/120,0.69,0.76,0.95,1.00,0.67,1.00,0.33,0.33,1.00,0.00,0.33,0.67,0.67,1.00,1.00,0.76,1.00,0.50,0.40,1.00,0.90,0.80,1.00,0.60,4.49,8.25,11.00
E/13/132,0.77,0.30,0.85,1.00,0.33,0.00,0.67,0.67,0.67,0.33,0.00,0.67,0.33,1.00,0.59,0.00,0.00,0.10,0.08,1.00,0.74,0.75,0.80,0.60,0.01,6.25,3.00
E/13/135,0.89,0.68,1.00,1.00,0.33,0.33,0.00,0.67,0.67,0.33,0.67,0.67,0.67,1.00,0.40,0.87,1.00,0.00,0.85,1.00,0.80,0.85,0.80,0.70,1.12,8.80,8.00
E/13/160,0.86,0.68,0.00,0.10,0.00,0.00,0.00,0.33,0.33,0.67,0.33,0.33,0.33,1.00,0.00,0.51,0.00,0.35,0.40,1.00,0.71,0.75,1.00,0.90,3.26,2.75,4.00
E/13/170,0.92,0.85,0.50,1.00,0.67,0.67,0.33,1.00,0.33,1.00,1.00,0.67,1.00,1.00,0.90,0.10,0.95,0.40,0.40,1.00,0.28,0.70,1.00,0.70,5.85,7.45,4.00
E/13/175,0.89,1.00,1.00,1.00,0.67,1.00,0.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.86,0.84,1.00,0.40,0.85,1.00,0.86,0.90,1.00,0.60,6.53,8.50,16.00
E/13/181,0.89,0.95,1.00,1.00,0.67,1.00,1.00,1.00,0.33,1.00,0.67,1.00,1.00,1.00,0.94,1.00,1.00,1.00,1.00,1.00,0.91,0.92,1.00,1.00,9.23,9.25,20.00
E/13/183,0.80,0.90,1.00,1.00,0.67,0.67,0.67,0.67,0.33,0.67,0.67,0.67,1.00,1.00,0.91,0.43,1.00,0.35,0.40,1.00,0.79,0.90,1.00,0.90,6.84,10.00,10.00
E/13/185,0.90,0.52,0.95,0.10,0.33,0.33,0.33,0.67,0.67,0.33,0.67,0.33,0.67,1.00,1.32,0.88,0.00,0.35,0.40,1.00,0.76,0.88,1.00,0.50,1.02,8.70,8.00
E/13/186,0.66,0.23,0.60,0.60,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,1.00,0.93,0.00,0.20,0.35,0.40,0.00,0.67,0.72,0.61,0.70,0.01,0.00,4.00
E/13/192,0.85,0.88,0.95,0.60,0.67,0.67,1.00,1.00,0.67,0.33,1.00,0.33,0.67,1.00,0.19,1.00,1.00,0.15,0.00,1.00,0.85,0.90,1.00,0.60,3.33,8.75,13.00
E/13/200,0.86,0.88,1.00,0.10,0.67,0.33,0.00,0.33,0.67,0.00,0.00,0.67,0.67,1.00,0.00,0.15,1.00,0.15,0.00,1.00,0.69,0.73,1.00,0.60,1.27,8.45,9.00
E/13/206,0.94,0.90,1.00,1.00,0.67,0.33,0.00,0.67,1.00,0.67,0.67,0.67,1.00,1.00,0.74,1.00,1.00,0.70,0.40,1.00,0.78,0.90,1.00,0.70,8.00,10.00,20.00
E/13/216,0.92,0.98,1.00,1.00,1.00,1.00,0.67,0.67,1.00,1.00,1.00,0.67,1.00,1.00,0.00,0.79,1.00,0.35,1.00,1.00,0.89,0.70,1.00,0.60,6.50,8.50,12.00
E/13/220,0.87,0.80,0.50,0.00,0.67,0.33,0.33,0.67,0.33,0.67,0.67,0.00,0.33,1.00,1.36,0.15,1.00,0.00,0.16,1.00,0.15,0.10,0.85,0.70,2.20,0.00,6.00
E/13/222,0.88,0.90,0.90,0.50,1.00,1.00,0.33,0.67,0.67,1.00,1.00,0.67,1.00,1.00,1.18,0.84,1.00,0.41,0.55,1.00,0.82,0.90,1.00,0.70,6.80,9.05,10.00
E/13/234,0.78,0.90,1.00,1.00,0.67,0.67,0.00,0.33,0.33,0.33,0.00,0.67,0.00,1.00,0.00,0.55,0.00,0.27,1.00,1.00,0.72,0.75,1.00,0.70,6.27,4.25,20.00
E/13/237,0.88,1.00,1.00,1.00,0.33,0.00,0.33,0.00,0.00,0.67,0.33,0.33,0.00,1.00,0.54,0.87,1.00,0.50,0.40,1.00,0.79,0.88,0.85,1.00,6.10,9.00,8.00
E/13/239,0.93,0.95,0.90,0.10,0.67,0.33,0.67,0.67,0.67,0.67,0.67,0.33,1.00,1.00,1.02,0.00,0.00,0.10,0.32,1.00,0.81,0.25,1.00,0.50,1.68,0.00,5.00
E/13/244,0.84,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.67,0.67,1.00,0.67,1.00,1.00,0.77,0.47,1.00,0.70,1.00,1.00,0.78,0.85,1.00,0.90,6.50,9.00,20.00
E/13/258,0.77,1.00,0.90,1.00,0.67,1.00,0.33,0.33,0.33,0.67,0.00,0.33,0.33,1.00,0.63,0.55,1.00,0.20,0.40,1.00,0.66,0.75,1.00,1.00,6.18,6.30,16.00
E/13/274,0.95,1.00,1.00,0.60,0.67,0.67,0.67,0.33,0.67,1.00,1.00,0.67,0.67,1.00,0.87,1.00,1.00,0.42,0.39,1.00,0.76,0.90,1.00,0.60,8.67,5.70,11.00
E/13/276,0.89,0.82,0.78,0.60,0.67,0.67,1.00,1.00,0.67,0.33,0.00,0.67,1.00,1.00,0.77,0.67,0.90,0.15,0.00,1.00,0.76,0.85,1.00,0.60,2.75,0.00,6.00
E/13/277,0.89,0.95,0.75,1.00,0.33,0.67,0.33,0.33,0.00,0.33,0.00,0.33,0.00,1.00,1.05,0.79,1.00,0.59,1.00,1.00,0.85,0.90,1.00,0.50,5.35,8.40,9.00
E/13/285,0.83,0.90,0.60,0.60,0.33,0.67,0.00,0.00,0.67,0.67,0.00,0.33,0.33,1.00,0.75,0.23,0.00,0.40,0.55,1.00,0.76,0.00,1.00,0.70,2.04,6.75,5.00
E/13/286,0.86,0.90,1.00,1.00,0.67,0.33,0.00,0.67,0.67,0.67,0.33,0.33,0.33,1.00,1.14,0.68,0.95,0.15,0.00,1.00,0.90,0.72,1.00,0.90,2.47,6.20,6.00
E/13/303,0.86,0.37,0.75,0.10,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,1.00,0.59,0.00,0.00,0.10,0.00,1.00,0.80,0.00,1.00,0.50,1.11,0.00,5.00
E/13/315,0.92,0.90,1.00,0.50,0.33,0.00,0.33,0.67,0.33,1.00,0.67,0.67,1.00,1.00,0.68,1.00,1.00,0.25,1.00,1.00,0.90,0.85,1.00,0.70,4.16,7.40,13.00
E/13/319,0.89,0.68,0.78,0.10,0.67,1.00,0.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.54,0.55,0.70,0.35,0.16,1.00,0.70,0.70,1.00,0.70,2.25,5.90,5.00
E/13/320,0.69,0.90,0.95,0.10,0.33,1.00,0.00,0.33,0.33,0.33,1.00,0.00,0.00,1.00,0.87,0.00,0.95,0.50,1.00,1.00,0.86,0.80,1.00,0.80,6.78,6.75,14.00
E/13/347,0.85,0.90,0.85,0.60,0.33,0.33,0.00,0.33,0.67,0.33,0.33,0.00,0.00,1.00,0.36,0.71,0.40,0.36,0.00,0.00,0.57,0.70,1.00,0.80,0.01,7.70,4.00
E/13/349,0.89,0.00,0.90,0.00,0.67,0.33,0.67,0.33,0.67,0.33,0.67,0.00,0.67,1.00,0.10,0.92,1.00,0.10,0.40,1.00,0.00,0.75,1.00,0.80,2.61,7.40,3.00
E/13/356,0.85,1.00,1.00,1.00,1.00,0.00,0.33,1.00,0.67,0.67,0.33,0.67,1.00,1.00,0.45,0.87,1.00,0.51,0.00,1.00,0.81,0.80,1.00,0.00,5.54,9.00,5.00
E/13/363,0.89,0.90,0.75,0.60,0.00,0.33,0.00,0.33,0.00,0.33,0.33,0.33,0.00,1.00,0.36,0.83,1.00,0.35,0.40,1.00,0.77,0.82,1.00,0.70,2.13,1.00,5.00
E/13/366,0.93,0.95,1.00,0.40,1.00,0.67,0.00,0.67,0.00,1.00,0.00,0.67,0.67,1.00,0.99,0.87,1.00,0.51,0.40,1.00,0.76,0.75,1.00,0.50,8.38,8.30,5.00
E/13/377,0.77,0.40,0.30,0.20,0.00,0.00,0.00,0.67,1.00,0.67,0.67,0.33,1.00,1.00,0.72,0.35,1.00,0.25,0.16,1.00,0.65,0.25,0.80,0.70,1.85,2.80,4.00
E/13/396,0.94,0.55,0.87,1.00,0.33,0.33,0.00,0.00,0.33,0.67,1.00,0.67,1.00,1.00,0.75,0.00,1.00,0.50,0.40,1.00,0.77,0.75,1.00,0.80,5.73,8.55,4.00
E/13/397,0.94,1.00,1.00,0.50,0.67,0.67,0.67,0.33,0.33,0.67,0.33,0.33,0.67,1.00,0.30,0.16,0.95,0.36,0.39,1.00,0.74,0.75,1.00,0.70,0.81,6.50,5.00
E/13/402,0.87,0.53,0.77,0.60,0.67,0.33,0.00,0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.67,0.83,0.00,0.51,0.70,1.00,0.47,0.56,1.00,0.70,1.01,6.50,5.00
E/13/415,0.93,0.50,0.70,0.00,0.67,0.67,0.67,1.00,0.67,0.67,0.67,0.67,0.67,1.00,0.77,0.75,0.80,0.15,0.85,1.00,0.88,0.75,0.81,0.60,0.06,0.00,8.00
E/13/420,0.90,0.90,1.00,1.00,1.00,1.00,1.00,0.67,1.00,1.00,1.00,1.00,1.00,1.00,0.46,0.48,0.00,0.10,0.00,1.00,0.85,0.75,1.00,0.60,1.36,9.80,6.00
E/12/088,0.69,0.68,0.90,1.00,0.00,0.00,0.00,0.67,0.00,0.33,0.00,0.33,0.33,1.00,0.00,0.88,0.55,0.10,0.00,1.00,0.80,0.25,0.97,0.60,0.00,0.00,4.00
MAXIMUM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,10.00,10.00,20.00
